1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.967495	1.000000	0.002092	7.1
1	-0.969436	1.000000	0.001769	2.0
2	-0.971082	1.000000	0.001539	2.3
3	-0.972488	1.000000	0.001288	1.9
4	-0.973656	1.000000	0.001076	1.9
5	-0.974619	1.000000	0.000903	4.1
6	-0.975461	1.000000	0.000809	2.2
7	-0.976224	1.000000	0.000726	2.0
8	-0.976909	1.000000	0.000668	1.8
9	-0.977522	1.000000	0.000634	2.4
10	-0.978074	1.000000	0.000611	2.1
11	-0.978626	1.000000	0.000559	2.2
12	-0.979081	1.000000	0.000539	2.4
13	-0.979487	1.000000	0.000506	2.3
14	-0.979882	1.000000	0.000480	2.0
15	-0.980217	1.000000	0.000475	1.9
16	-0.980560	1.000000	0.000456	1.8
17	-0.980864	1.000000	0.000443	2.3
18	-0.981167	1.000000	0.000435	1.8
19	-0.981431	1.000000	0.000382	2.6
20	-0.981730	1.000000	0.000389	3.4
21	-0.981989	1.000000	0.000422	2.2
22	-0.982218	1.000000	0.000428	1.8
23	-0.982457	1.000000	0.000431	1.7
24	-0.982705	1.000000	0.000418	2.4
25	-0.982907	1.000000	0.000394	1.9
26	-0.983136	1.000000	0.000400	3.1
27	-0.983293	0.500000	0.000395	3.2
28	-0.983447	0.500000	0.000322	2.1
29	-0.983553	0.500000	0.000345	2.0
30	-0.983629	0.500000	0.000336	1.9
31	-0.983725	0.500000	0.000343	2.3
32	-0.983801	0.500000	0.000347	2.3
33	-0.983906	0.500000	0.000308	3.0
34	-0.983978	0.500000	0.000332	3.1
35	-0.984077	0.500000	0.000312	2.2
36	-0.984143	0.500000	0.000349	1.8
37	-0.984232	0.500000	0.000302	2.2
38	-0.984307	0.500000	0.000329	2.0
39	-0.984396	0.500000	0.000309	2.1
40	-0.984459	0.250000	0.000375	3.3
41	-0.984519	0.250000	0.000278	2.8
42	-0.984555	0.250000	0.000285	1.9
43	-0.984597	0.250000	0.000287	1.8
44	-0.984631	0.250000	0.000287	2.3
45	-0.984671	0.250000	0.000281	2.0
46	-0.984701	0.250000	0.000296	2.7
47	-0.984740	0.250000	0.000272	3.5
48	-0.984776	0.250000	0.000300	2.1
49	-0.984807	0.250000	0.000270	2.0
50	-0.984847	0.250000	0.000295	1.5
51	-0.984872	0.250000	0.000270	2.3
52	-0.984911	0.250000	0.000291	1.8
53	-0.984937	0.125000	0.000279	2.0
54	-0.984963	0.125000	0.000257	1.8
55	-0.984986	0.125000	0.000264	2.6
56	-0.984998	0.125000	0.000286	1.8
57	-0.985018	0.125000	0.000261	1.8
58	-0.985033	0.125000	0.000281	1.7
59	-0.985051	0.125000	0.000266	2.0
60	-0.985068	0.125000	0.000287	2.2
61	-0.985083	0.125000	0.000265	2.4
62	-0.985100	0.125000	0.000287	3.7
63	-0.985115	0.125000	0.000260	2.2
64	-0.985133	0.125000	0.000270	2.0
65	-0.985148	0.125000	0.000262	1.9
66	-0.985166	0.125000	0.000270	2.2
67	-0.985179	0.125000	0.000266	2.0
68	-0.985198	0.125000	0.000271	2.1
69	-0.985211	0.125000	0.000279	3.3
70	-0.985229	0.125000	0.000259	2.7
71	-0.985246	0.125000	0.000272	2.3
72	-0.985261	0.125000	0.000262	2.0
73	-0.985278	0.125000	0.000272	2.5
74	-0.985292	0.125000	0.000261	1.9
75	-0.985310	0.125000	0.000255	2.5
76	-0.985323	0.125000	0.000268	2.5
77	-0.985341	0.125000	0.000261	2.2
78	-0.985351	0.125000	0.000274	2.4
79	-0.985370	0.125000	0.000265	2.1
80	-0.985383	0.062500	0.000274	2.8
81	-0.985396	0.062500	0.000250	2.1
82	-0.985402	0.062500	0.000250	1.7
83	-0.985412	0.062500	0.000269	1.8
84	-0.985417	0.062500	0.000258	1.8
85	-0.985426	0.062500	0.000251	1.6
86	-0.985433	0.031250	0.000269	1.9
87	-0.985440	0.031250	0.000237	1.6
88	-0.985442	0.031250	0.000262	1.8
89	-0.985448	0.031250	0.000248	2.4
90	-0.985450	0.031250	0.000261	1.8
91	-0.985455	0.031250	0.000242	1.7
92	-0.985458	0.015625	0.000274	1.6
93	-0.985461	0.015625	0.000237	1.7
94	-0.985463	0.015625	0.000263	1.7
95	-0.985465	0.015625	0.000247	1.7
96	-0.985467	0.015625	0.000261	1.6
97	-0.985469	0.015625	0.000241	1.7
98	-0.985470	0.015625	0.000264	2.4
